136,Apartment in Ioannina,Cosy studio in Ioannina City center,1 double bed,Jan 9 – 14,4.64,56,44
137,Apartment in Ioannina,Georgia Apartment,3 beds,Jan 21 – 27,4.98,114,53
138,Apartment in Ioannina,French Country in Ioannina city center,1 king bed,Jan 12 – 17,4.85,143,79
139,Condo in Ioannina,George’s apartment,2 beds,Jan 8 – 13,4.88,8,89
140,Home in Ampelia,Modern place to stay in Janina,1 bed,Jan 8 – 13,New,0,65
141,Apartment in Ioannina,2 Bedrooms-Perfect Center Location-Amazing View,3 beds,Jan 8 – 13,4.88,50,102
142,Apartment in Eleousa,New Loft Polixeni,4 beds,Jan 8 – 13,4.96,140,59
143,Apartment in Ioannina,City Life Apartments #2,1 double bed,Jan 9 – 14,4.9,49,110
144,Apartment in Ioannina,Central Appartment (Α1),3 beds,Jan 15 – 21,4.66,100,65
145,Apartment in Ioannina,Downtown. In the heart of the city.,6 beds,Jan 10 – 15,4.89,116,65
146,Treehouse in Ioannina,The Bird's Nest Treehouse,2 beds,Feb 12 – 18,4.89,116,65
147,Apartment in Ioannina,"Apartment In Ioannina ""Chez photis""",1 double bed,Jan 8 – 14,4.89,177,59
148,Cottage in Anatoli,Farm House Ioannina,1 double bed,Jan 8 – 14,4.79,24,59
149,Home in Velissarios,My home,2 beds,Jan 15 – 20,New,0,85
150,Condo in Ioannina,Guest home 1 Cozy apartment with fireplace,3 beds,Jan 8 – 13,4.75,4,95
151,Apartment in Ioannina,Andreas city center apartment,2 beds,Jan 8 – 14,New,0,90
152,Condo in Ioannina,CLIC - Comfort Luxury in Ioannina,2 beds,Jan 13 – 18,4.57,7,85
153,Apartment in Neochoropoulo,ΜΑ4 New Apartment Next To Hospital And University,1 sofa bed,Jan 10 – 15,4.86,22,51
154,Apartment in Ioannina,Country Chic in Ioannina city center,1 queen bed,Jan 13 – 18,4.93,121,78
155,Apartment in Ioannina,Ioannina Luxury 35 m2 Studio NETFLIX incl.,2 beds,Jan 8 – 14,4.91,11,74
156,Chalet in Ktistades,TZOUMERKA CHALET CALIVAS,2 beds,Jun 12 – 17,4.96,111,130
157,Apartment in Ioannina,A practical and comfortable two-bedroom,3 beds,Jan 7 – 14,4.71,17,36
158,Condo in Ioannina,STUDIO B2,1 queen bed,Jan 9 – 14,4.8,65,58
159,Condo in Ioannina,Modern House in the heart of the Mexican castle,5 beds,Jan 8 – 14,5.0,3,85
160,Home in Pedini,Peace & spacious house with backyard,3 beds,Jan 8 – 13,New,0,66
161,Apartment in Anatoli,Cozy stay in the center of the East,2 beds,Jan 7 – 12,4.9,21,91
162,Condo in Ioannina,WOOD & WHITE APPARTMENT WITH 2 BEDROOMS IN CENTER,2 beds,Jan 9 – 14,5.0,5,94
163,Condo in Ioannina,Katerina's apartment in Ioannina,1 bed,Mar 13 – 18,4.82,57,43
164,Apartment in Anatoli,Modern and spacious maisonette in Ioannina,1 double bed,Jan 12 – 17,4.81,64,50
165,Home in Katsikas,Three-bedroom apartment with two bedrooms  two bathrooms,3 beds,Jan 8 – 13,4.73,30,59
166,Apartment in Ioannina,Luxury Family Apartment,2 beds,Jan 8 – 13,4.73,30,59
167,Condo in Ioannina,Nicki House Ι,1 queen bed,Jan 8 – 13,5.0,10,83
168,Apartment in Ioannina,October Luxury Apartments,1 bed,Jan 9 – 14,New,0,85
169,Vacation home in Ioannina,@LAKE STUDIO,2 beds,Jan 8 – 13,New,0,85
170,Condo in Ioannina,2 BDR Apartment B3,4 beds,Jan 8 – 13,New,0,85
171,Apartment in Ioannina,Spacious apartment with courtyard,4 beds,Jan 8 – 13,4.61,49,51
172,Condo in Ioannina,Koel,4 beds,Jan 8 – 13,5.0,5,146
173,Condo in Ioannina,City Life Apartments #1,1 queen bed,Jan 8 – 13,4.86,36,136
174,Condo in Ioannina,Mike's Roof ioannina,2 beds,Jan 10 – 15,5.0,5,101
175,Home in Ioannina,In The Castle II House,1 bed,Jan 8 – 13,5.0,5,101
176,Condo in Ioannina,Nikos home.,2 single beds,Jan 8 – 13,5.0,4,60
177,Home in Vounoplagia,Comfortable House with fireplace near Airport,2 beds,Jan 8 – 13,5.0,4,56
178,Condo in Ioannina,Own 's Luxury Loft,3 beds,Jan 10 – 15,4.71,7,106
179,Condo in Velissarios,My Oneiro City Apartments - One Bedroom,1 bed,Jan 8 – 13,5.0,3,67
180,Home in Ioannina,Sunny studio with great view and yard.,1 queen bed,Feb 13 – 18,4.94,214,67
181,Condo in Exochi,M Home Place,2 beds,Jan 8 – 13,5.0,10,103
182,Apartment in Ioannina,San Francisco Loft No2,3 beds,Jan 8 – 13,New,0,197
183,Home in Mantio,Villa 18,2 beds,Jan 8 – 13,New,0,235
184,Home in Ioannina,Detached house with garden in the city center,2 beds,Jan 8 – 13,New,0,130
185,Hotel room in Neochoropoulo,Junior Suite- Golden Suites & Spa,4 beds,Jan 8 – 15,4.75,4,86
186,Home in Ioannina,locanta,3 beds,Jan 9 – 14,New,0,147
187,Condo in Ioannina,Cozy  central penthouse with panoramic views,2 beds,Jan 8 – 14,4.67,3,175
188,Apartment in Ioannina,CHAROULA'S,3 beds,Jan 8 – 13,4.95,93,85
189,Condo in Ioannina,Kristi Central Home.,1 king bed,Jan 15 – 22,4.85,13,53
190,Apartment in Anatoli,Clio Luxury Studio Apartment,1 bed,Jan 14 – 19,4.85,13,53
191,Condo in Ioannina,Diana's cozy 3 studio,2 beds,Feb 15 – 22,4.67,9,38
192,Apartment in Ioannina,Ioannina 2-bedroom apartment,3 beds,Jan 8 – 13,5.0,8,118
193,Apartment in Ioannina,city center maisonette ioannina,1 queen bed,Feb 5 – 10,4.83,31,91
194,Guesthouse in Krifovo,“ spitaki”,1 double bed,Jan 9 – 14,4.83,31,91
195,Condo in Kato Neochoropoulo,Laida place,2 beds,Jan 8 – 13,4.15,20,38
196,Condo in Pedini,Dream House Ioannina,1 bed,Jan 9 – 14,5.0,9,61
197,Apartment in Kardamitsia,Cozy modern apartment,2 beds,Jan 8 – 13,5.0,7,85
198,Apartment in Ioannina,Downtown Luxury Apartments 34,1 bed,Jan 9 – 14,New,0,89
199,Apartment in Ioannina,Unique guest house,1 bed,Jan 15 – 20,New,0,54
200,Condo in Ioannina,Ground floor apartment with courtyard 3km from center,1 bed,Jan 8 – 13,5.0,5,106
201,Condo in Ioannina,Cozy apartment with fireplace,1 double bed,Jan 8 – 13,4.38,13,51
202,Apartment in Ioannina,Ili's place,2 beds,Jan 8 – 14,New,0,72
203,Apartment in Ioannina,Comfy urban apartment,2 king beds,Jan 9 – 14,New,0,150
204,Cottage in Ioannina,Lake view home with Fireplace near Ioannina,3 beds,Jan 13 – 18,4.93,30,96
205,Apartment in Ioannina,Luxury apartment with 3 bedrooms close to the lake,4 beds,Jan 15 – 20,4.8,55,145
206,Condo in Ioannina,Superior-modern and comfortable apartment downtown,3 beds,Jan 9 – 14,New,0,148
207,Apartment in Ioannina,October Luxury Apartments Studio,1 bed,Jan 8 – 13,New,0,83
208,Condo in Ioannina,Small apartment in the center of the Yuanines,3 beds,Apr 24 – May 1,4.89,9,46
209,Condo in Ioannina,Vasiliki Loft,3 beds,Jan 10 – 16,4.89,9,98
210,Apartment in Ioannina,Bill Crib,1 sofa bed,Feb 11 – 16,4.95,22,33
211,Townhouse in Amos,Holiday home with fireplace,4 beds,Jan 9 – 14,4.86,7,86
212,Apartment in Pedini,Ma Maison/Comfortable and dreamy studio under home,2 beds,Jan 15 – 20,4.89,57,43
213,Condo in Anatoli,Newly built 1st floor apartment in two-storey house,6 beds,Jan 10 – 15,5.0,12,148
214,Condo in Kria,Sunny apartment with view and backyard.,3 beds,Jan 8 – 13,5.0,12,73
215,Condo in Ioannina,themi's home,1 bed,Jan 8 – 13,4.62,13,100
216,Apartment in Kardamitsia,Elegant apartment with mountain view,3 beds,Jan 8 – 13,4.77,13,85
217,Apartment in Ioannina,Ioannina Luxury 45m2 Studio NETFLIX Incl.,2 sofa beds,Jan 9 – 14,5.0,12,79
218,Condo in Katsikas,Flat with garden in a suburb of Ioannina city,2 beds,Jan 9 – 14,5.0,6,52
219,Home in Chouliarades,Chouliarades Tzoumerkon,2 beds,Jan 8 – 13,4.64,25,52
220,Apartment in Ioannina,V&L Sunset 1,4 beds,Jan 8 – 13,5.0,10,63
221,Home in Raftanei,T apartments Jamurka,2 beds,Jan 8 – 13,4.9,10,69
222,Loft in Ioannina,Spacious loft with comfort and views,2 beds,Jan 10 – 15,4.91,65,63
223,Home in Pramanta,Remvi GUEST HOUSE,1 double bed,Jan 8 – 13,4.95,20,79
224,Apartment in Ioannina,City Center Ground Loft - Ioannina,4 beds,Jan 8 – 14,5.0,4,177
225,Condo in Ioannina,Guest home 2 cozy apt close to the city center,1 double bed,Jan 8 – 13,5.0,4,177
226,Home in Karies,Apartment near Zagorochoria,2 beds,Jan 15 – 20,New,0,81
227,Townhouse in Ioannina,Cozy autonomous stone house in the center  155 sqm,7 beds,Jan 9 – 15,4.95,40,175
228,Private room in Ioannina,Patriko Guesthouse Room no2,1 double bed,Jan 8 – 13,4.91,64,47
229,Home in Anatoli,Le-Lia's Place,4 beds,Jan 15 – 20,5.0,19,72
230,Apartment in Ioannina,Luxury Lake Apartment,3 beds,Jan 8 – 15,5.0,19,72
231,Condo in Ioannina,Santa Marina  Apartment in the center of the Mexican!,3 beds,Jan 15 – 20,5.0,3,85
232,Condo in Ioannina,Apartment by the castle,3 beds,Jan 16 – 21,New,0,98
233,Apartment in Pedini Ioannina,Amazing place in Pedini,2 beds,Feb 3 – 8,4.98,42,45
234,Private room in Ioannina,GuestHouse Patriko - Room 3,2 single beds,Jan 8 – 13,5.0,11,54
235,Apartment in Ioánnina,A Practical Option / Value for money,2 single beds,Jan 8 – 13,4.43,66,41
236,Condo in Ioannina,Comfy Central Apartment,4 beds,Jan 15 – 22,4.79,14,104
237,Apartment in Eleousa,Cozy house with amazing view,2 double beds,Jan 9 – 14,4.94,51,106
238,Apartment in Ioannina,Mini apartment,1 small double bed,Jan 8 – 13,4.86,21,44
239,Apartment in Velissarios,Ioannina's New Comfotrable Apartment,1 double bed,Feb 28 – Mar 5,4.89,28,42
240,Apartment in Kato Neochoropoulo,My Oneiro Apartments - Standard,1 bed,Jan 8 – 13,4.89,28,42
241,Home in Neokesaria,Voula's home - Ioannina--Neokesaria ⭐⭐⭐⭐⭐,5 beds,May 15 – 22,4.98,101,65
242,Home in Anatoli,Family Cozy,3 beds,Jan 9 – 14,5.0,3,140
243,Apartment in Ioannina,Marianthe Apartments,3 beds,Jan 8 – 13,4.91,23,127
244,Home in Kato Neochoropoulo,Evelina's house,1 double bed,Jan 9 – 14,4.89,9,146
245,Home in Katsikas,The Tranquility House Ioannina,5 beds,Jan 23 – 28,4.9,49,78
246,Townhouse in Ioannina,Townhouse in The Castle,1 double bed,Jan 10 – 15,4.33,3,86
247,Condo in Ioannina,STUDIO B1,1 double bed,Jan 30 – Feb 4,4.88,91,52
248,Apartment in Ioannina,City Life Apartments #3,1 queen bed,Jan 8 – 13,4.36,11,112
249,Condo in Exochi,Lovely Guesthouse -58m2,2 beds,Jan 8 – 13,5.0,4,76
250,Tiny home in Ioannina Island,Σπίτι στο νησί Ιωαννίνων,2 beds,Jan 17 – 22,5.0,11,59
251,Private room in Ioannina,Nikolas Guesthouse Koukouli,1 bed,Jan 7 – 12,New,0,82
252,Condo in Ioannina,on foot 2 suites,3 beds,Jan 8 – 14,5.0,8,143
253,Earthen home in Ktistades,Marina's Stone - Listing number 00000128825,2 queen beds,Jan 8 – 13,4.9,30,148
254,Apartment in Velissarios,DIFFERENT APARTMENTS d8,2 beds,Jan 8 – 13,5.0,3,141
255,Private room in Ioannina,Apartment inside the Ionnis Castle (center),3 beds,Jan 9 – 14,4.67,6,77
256,Private room in Ioannina,Urban Yoga House Hostel & Retreat,1 double bed,Jan 8 – 13,5.0,5,68
257,Condo in Ioannina,Lake room,1 bed,Jan 8 – 13,4.6,5,72
258,Apartment in Ioannina,Studio on the rooftop Eleni,1 sofa bed,Mar 30 – Apr 4,4.81,52,38
259,Apartment in Ioannina,Ioannina Luxury 50m2 Apartment NETFLIX incl.,2 beds,Jan 9 – 14,4.97,30,79
260,Apartment in Ioannina,Ioannina Luxury 58m2 Apartment NETFLIX incl.,2 beds,Jan 9 – 14,4.92,12,79
261,Apartment in Ioannina,Comfort Zone in Ioannina,1 double bed,Jan 8 – 13,5.0,3,63
262,Apartment in Exochi,Chris Cozy Apartment,3 beds,Jan 8 – 13,4.96,25,106
263,Home in Ioannina,House in the castle of Ioannina.,1 queen bed,Jan 9 – 14,4.81,43,106
264,Condo in Ioannina,Casa verde Ioannina,2 beds,Jan 8 – 13,5.0,4,94
265,Condo in Ioannina,Freesia Loft Apartment,2 beds,Feb 15 – 21,5.0,7,99
266,Home in Ioannina,The Pearl of the Lake,5 beds,Jan 8 – 13,New,0,167
267,Home in Ioannina,Liberty Ioannina (maisonette),6 beds,Jan 19 – 25,4.88,41,94
268,Condo in Velissarios,CHRISTINAS STUDIO #2,2 beds,Jan 9 – 14,4.75,4,86
269,Condo in Ioannina,Downtown Luxury Apartment #1,2 beds,Jan 14 – 19,4.75,4,86
270,Apartment in Ioannina,Boutique Apartment in the Center of Ioannina,2 beds,Feb 11 – 16,4.5,141,53
271,Apartment in Ioannina,zoi comme la vie apartment of 100 sq.m. on the 4th floor,5 beds,Jan 8 – 13,4.94,103,121
272,Apartment in Ioannina,In The Castle House,1 double bed,Jan 8 – 13,4.97,36,83
273,Apartment in Exochi,Kathizita Studio MT. Maria & Basilica,4 single beds,Feb 6 – 11,5.0,5,44
274,Condo in Ioannina,Clio City One Bedroom Apartment,1 bed,Jan 8 – 13,5.0,5,44
275,Condo in Ioannina,Diana's cozy 2 studio,1 queen bed,Apr 7 – 12,4.67,9,45
276,Apartment in Ioannina,Modern apartment in the city center,4 beds,Jan 29 – Feb 3,5.0,44,95
277,Villa in Ioannina,Pineforest Villa pool and BBQ w/ a splash of glam,5 beds,Jan 8 – 13,4.83,23,254
278,Home in Amfithea,House with View in Amfithea,4 beds,Jan 9 – 16,5.0,5,71
