"August 9, 2020",50,Keeps its magic!,"We were delighted to return to this old favourite and yet again, had a magical evening. Interesting menu, wonderful flavours and all served with grace and style."
"March 8, 2020",50,One of the best high end restaurants,"One of the best high end restaurants that should eat once in you life time. Very nicely decorated, old Venetian style , very tasty food and and an amazing wine list."
"January 10, 2020",50,Best restaurant we visited in Corfu,"Beautiful environment, staff with superior attention to detail, delicious food. Hope to return one day."
"October 8, 2019",40,The Venetian Well.,This restaurant is situated in the centre of town in Corfu so when you are sightseeing you can drop in for a drink and some grrek feed to keep you going.
"October 4, 2019",50,Excellent as always,"I have eaten here on many occasions and as always the location is simply stunning. This is the nearest Corfu gets to international standard fine dining so the food, service and price are serious. But for foodies and romantics it's a treat for the senses."
"October 1, 2019",10,Closed??,"We, and a lot of other people, stood outside closed doors. It said on their website that they where open...."
"September 18, 2019",40,Great Dining Experience,"Food was amazing , last minute reservation so we could not eat outside which was a shame. The staff were good, helpful but lacked enthusiasm."
"September 2, 2019",50,Magical!,"Wonderful delicious food, outstanding charming atmosphere, great and attentive service... simply an absolute five star dining experience which I would recommend to everyone!"
"September 1, 2019",50,Excellent gastronomic surprise,"Greek food is good, everywhere. But at the Venetian well, Greek food is not good, but excellent! accompanied by very good wines and served with great diligence and ""gentillesse"""
"August 17, 2019",50,A sweet chocolate evening!,"We were in Corfu for a wedding and pre-booked a place at the Venetian Well. The food was wonderful, not enough vegetarian though, but the waiter Lefteris made our evening! Very hospitable, friendly and knowledgable - Who does not love chocolate?"
"August 13, 2019",50,Excellent restaurant in the old city of Kerkyra / Corfu,"We wanted a good restaurant, not spaghetti for tourists. The Venetian well offers high quality food and wine in the center of the old town. Everything was excellent, very innovative, service is impeccable. Highly recommended. Make your booking by phone, not online."
"August 6, 2019",40,Nice dinner,"We had a wonderful evening at the Venetian Well. All the courses was very good. It is a bit at the expensive side, but the quality of the food was also high. The waiters was trying, but they delivered only almost."
"July 23, 2019",50,Great experience!,"The real cost of this restaurant is 2 star Michelin! Of course, prices are high for Corfu, but lever of food... Every dish is an interesting adventure. Answer for advice when you choose wine, somelier works very well!"
"July 19, 2019",30,Disappointing well,Unfortunately the restaurant was closed. The well was covered and not that big -area around the well is very pretty
"July 18, 2019",50,Amazing experience,"The food was exceptional, the atmosphere was calm and everything seemed well taken care of. A bit pricey though."
"July 18, 2019",50,Absolutely AMAZING!!!,We had a fantastic dinner accompanied with a great selection of wines which were proposed by the great sommelier. Each course was a sensation and we where definitely not the last time here!!! My favourite was the Crayfish Tartare... never had anything comparable
"July 16, 2019",50,Atmospheric fine dining.,"For our first evening in Corfu town, we opted for a special dinner. The Venetian Well exceeded my expectations. The service, selections, and atmosphere were perfect."
"July 15, 2019",50,30th anniversary treat,Tucked into this picturesque square was the best restaurant of our 4 week vacation in the eastern Mediterranean. Everything was delicious and perfect. 5-star quality and service at a 3-star price. Go there and go often. Every dish a jewel.
"June 30, 2019",50,I visit this restaurant every time I visit Corfu,"The dishes are of the highest quality, the wine cellar that makes any other restaurant on the island jealous and is located in the most iconic and idillic location on the island. Need to say no more."
"June 13, 2019",50,Amazing,"If you are looking for a taverna with tzatziki ,souvlaki,gyros this is not the place to go .....if you are looking for a gourmet special experience this is a mast place to go.Great food , great wine selection great service ... amazing"
"May 17, 2019",50,Even nice in day when shut!,"We only passed by here on the walk through the old town, it was closed but the Venetian well and surrounding buildings still made an impressive backdrop!"
"May 7, 2019",40,Worth for a good occasion,Dinner of a high standard. The ambience is good and it is clear that they take their job seriously (if not too seriously). The wine list is impressive and it is worth noting that the prices for the wine were good.
